Input, Output, Metrical Timeout, Structural Timeout, Solution, Score, Structural Attempts, Time (sec)
mute_00_none, mute_07_perrier, 2, 3, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 4, 142.821
mute_00_none, mute_07_perrier, 2, 4, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 5, 174.682
mute_00_none, mute_07_perrier, 2, 5, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 6, 192.435
mute_00_none, mute_07_perrier, 2, 6, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 7, 213.535
mute_00_none, mute_07_perrier, 2, 7, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 8, 231.689
mute_00_none, mute_07_perrier, 3, 3, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 4, 151.166
mute_00_none, mute_07_perrier, 3, 4, None , N/A , N/A , Timeout
mute_00_none, mute_07_perrier, 3, 5, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 6, 338.591
mute_00_none, mute_07_perrier, 3, 6, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 7, 275.800
mute_00_none, mute_07_perrier, 3, 7, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 8, 299.908
mute_00_none, mute_07_perrier, 4, 3, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 4, 193.044
mute_00_none, mute_07_perrier, 4, 4, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 5, 247.612
mute_00_none, mute_07_perrier, 4, 5, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 6, 296.468
mute_00_none, mute_07_perrier, 4, 6, None , N/A , N/A , Timeout
mute_00_none, mute_07_perrier, 4, 7, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 8, 314.594
mute_00_none, mute_07_perrier, 5, 3, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 4, 173.121
mute_00_none, mute_07_perrier, 5, 4, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 5, 237.078
mute_00_none, mute_07_perrier, 5, 5, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 6, 255.299
mute_00_none, mute_07_perrier, 5, 6, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 7, 292.621
mute_00_none, mute_07_perrier, 5, 7, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 8, 297.490
mute_00_none, mute_07_perrier, 6, 3, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 4, 184.808
mute_00_none, mute_07_perrier, 6, 4, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 5, 227.497
mute_00_none, mute_07_perrier, 6, 5, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 6, 253.986
mute_00_none, mute_07_perrier, 6, 6, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 7, 280.337
mute_00_none, mute_07_perrier, 6, 7, Node {rootLabel = DSPNodeL {nodeId = 3, nodeContent = PitchShift 0.10000000000000003 0.1}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 5, nodeContent = Ringz 0.1 0.10000010954478214 0.0}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 0, nodeContent = AmpApp 1.0}, subForest = [Node {rootLabel = DSPNodeL {nodeId = 1, nodeContent = LPF 0.0 (-1.0)}, subForest = []},Node {rootLabel = DSPNodeL {nodeId = 2, nodeContent = HPF 0.0 (-1.0)}, subForest = []}]}]}, 10.302, 8, 294.763